"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@JennyBryan Wow, that's awful. I went through and reported those tweets. #rstats is usually such a nice, supportive place!",FALSE,3,"JennyBryan",2016-02-23 03:40:40,FALSE,"701973095733547009","701974930254999553","2167059661","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JAlexBranham",0,FALSE,FALSE,NA,NA
"RT @JennyBryan: How to report abusive behaviour on twitter: https://t.co/UtF0H5FUue #rstats",FALSE,0,NA,2016-02-23 03:40:17,FALSE,NA,"701974836189536256",NA,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Jemus42",4,TRUE,FALSE,NA,NA
"RT @robbibt: I *may* have broken ggplot2... #chernobyl #rstats https://t.co/IPRBfKLPya",FALSE,0,NA,2016-02-23 03:35:08,FALSE,NA,"701973540451422208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","echolgate",1,TRUE,FALSE,NA,NA
"worst part of writing R package: write documentation. :( #rstats",FALSE,0,NA,2016-02-23 03:34:07,FALSE,NA,"701973282522664962",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","souravc83",0,FALSE,FALSE,NA,NA
"How to report abusive behaviour on twitter: https://t.co/UtF0H5FUue #rstats",FALSE,15,NA,2016-02-23 03:33:22,FALSE,NA,"701973095733547009",NA,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","JennyBryan",4,FALSE,FALSE,NA,NA
"Tutorial on using #jupyter notebook with the R kernel:

https://t.co/FMsqFWx0td

#rstats #jupyterday https://t.co/MMg9cIsdvb",FALSE,30,NA,2016-02-23 03:24:47,FALSE,NA,"701970936505847808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","plotlygraphs",10,FALSE,FALSE,NA,NA
"RT @polonglin: 3/19 Tokyo #meetup on R <U+30C7><U+30FC><U+30BF><U+30B5><U+30A4><U+30A8><U+30F3><U+30C6><U+30A3><U+30B9><U+30C8><U+306E><U+305F><U+3081><U+306E>R<U+30A4><U+30F3><U+30C8><U+30ED><U+30C0><U+30AF><U+30B7><U+30E7><U+30F3> #rstats #datascience #tokyo @BigDataU https://t.co/vgh865pJER",FALSE,0,NA,2016-02-23 03:16:08,FALSE,NA,"701968759439826944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Akihiro1982",2,TRUE,FALSE,NA,NA
"RT @KirkDBorne: Useful packages (libraries) for Data Analysis in R: https://t.co/haRKopFyly #DataScience #Rstats by @analyticsvidhya https:…",FALSE,0,NA,2016-02-23 03:14:55,FALSE,NA,"701968451087110144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dawnbazely",97,TRUE,FALSE,NA,NA
"RT @Hoog10HK: #GGPLOT2 prezzo updated! https://t.co/v7asERh5ha
@hrbrmstr ggalt has vertical. #rstats @timelyportfolio @bhaskar_vk https://t…",FALSE,0,NA,2016-02-23 03:04:38,FALSE,NA,"701965863440797696",NA,"<a href=""http://dirkmjk.nl"" rel=""nofollow"">dataAndDataViz</a>","DataAndDataViz",6,TRUE,FALSE,NA,NA
"RT @Physical_Prep: Sooo many books, sooo little time... @DavidGJoyce @rlmcelreath #RStats https://t.co/hnbUmiEmp5",FALSE,0,NA,2016-02-23 03:04:12,FALSE,NA,"701965755001081856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DavidGJoyce",2,TRUE,FALSE,NA,NA
"RT @Hoog10HK: #GGPLOT2 prezzo updated! https://t.co/v7asERh5ha
@hrbrmstr ggalt has vertical. #rstats @timelyportfolio @bhaskar_vk https://t…",FALSE,0,NA,2016-02-23 03:01:41,FALSE,NA,"701965123498315777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","awhstin",6,TRUE,FALSE,NA,NA
"RT @Hoog10HK: #GGPLOT2 prezzo updated! https://t.co/v7asERh5ha
@hrbrmstr ggalt has vertical. #rstats @timelyportfolio @bhaskar_vk https://t…",FALSE,0,NA,2016-02-23 02:58:19,FALSE,NA,"701964273807921156",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hrbrmstr",6,TRUE,FALSE,NA,NA
"RT @Hoog10HK: #GGPLOT2 prezzo updated! https://t.co/v7asERh5ha
@hrbrmstr ggalt has vertical. #rstats @timelyportfolio @bhaskar_vk https://t…",FALSE,0,NA,2016-02-23 02:57:11,FALSE,NA,"701963988100390912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","timelyportfolio",6,TRUE,FALSE,NA,NA
"@quominus That sucks,also whoever said""you should learn C""on #rstats should learn R. C's syntax 4 creating a named fcn is totally different.",FALSE,1,"quominus",2016-02-23 02:55:28,FALSE,"701958791970078721","701963557701820417","221668486","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","joshjfink",0,FALSE,FALSE,NA,NA
"#GGPLOT2 prezzo updated! https://t.co/v7asERh5ha
@hrbrmstr ggalt has vertical. #rstats @timelyportfolio @bhaskar_vk https://t.co/2rpHxJfKGF",FALSE,1,NA,2016-02-23 02:52:36,FALSE,NA,"701962836142981123",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hoog10HK",6,FALSE,FALSE,NA,NA
"Get @neracoos data via their ERDDAP server in #rstats  https://t.co/kIX0pQJS1L",FALSE,0,NA,2016-02-23 02:52:31,FALSE,NA,"701962815297327106",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","sckottie",0,FALSE,FALSE,NA,NA
"RT @Rbloggers: Working with MS SQL server on non-windows systems https://t.co/t2qB2xIQIZ #rstats #DataScience",FALSE,0,NA,2016-02-23 02:51:08,FALSE,NA,"701962465869848576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wtibrentdubai",6,TRUE,FALSE,NA,NA
"RT @Rbloggers: Installing cuda toolkit and related R packages https://t.co/mXiQT3zSwM #rstats #DataScience",FALSE,0,NA,2016-02-23 02:50:53,FALSE,NA,"701962404528140288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wtibrentdubai",3,TRUE,FALSE,NA,NA
"RT @polonglin: 3/19 Tokyo #meetup on R <U+30C7><U+30FC><U+30BF><U+30B5><U+30A4><U+30A8><U+30F3><U+30C6><U+30A3><U+30B9><U+30C8><U+306E><U+305F><U+3081><U+306E>R<U+30A4><U+30F3><U+30C8><U+30ED><U+30C0><U+30AF><U+30B7><U+30E7><U+30F3> #rstats #datascience #tokyo @BigDataU https://t.co/vgh865pJER",FALSE,0,NA,2016-02-23 02:50:11,FALSE,NA,"701962226060529664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ZonoYu",2,TRUE,FALSE,NA,NA
"Sooo many books, sooo little time... @DavidGJoyce @rlmcelreath #RStats https://t.co/hnbUmiEmp5",FALSE,19,NA,2016-02-23 02:48:30,FALSE,NA,"701961802259673088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Physical_Prep",2,FALSE,FALSE,NA,NA
".@theboocock Was great to bring together the great stuff #Rstats can do. Must do it again. #Genomics #Bioinformatics #DataCarpentry #ResBaz",FALSE,1,"theboocock",2016-02-23 02:44:44,FALSE,"701960330818117632","701960855353569280","511597744","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tomkXY",0,FALSE,FALSE,NA,NA
".@tomkXY People really saw how useful R could when you use Rmd. This was made possible only with the great  R intro though #rstats #resbaz",FALSE,0,"tomkXY",2016-02-23 02:42:39,FALSE,"701942708412092416","701960330818117632","2842025330","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","theboocock",0,FALSE,FALSE,NA,NA
"RT @earlconf: Want to speak at  #EARL2016 #rstats #R Conference in #London? Call for Abstracts https://t.co/FpUDaN7Vpu https://t.co/kAFhlaV…",FALSE,0,NA,2016-02-23 02:36:07,FALSE,NA,"701958688878280705",NA,"<a href=""http://www.foo.com"" rel=""nofollow"">Top Email Retweets</a>","UKStartupEvents",2,TRUE,FALSE,NA,NA
"I know people crap on newbs a lot but the #rstats Facebook group is making me really hate experienced devs.",FALSE,0,NA,2016-02-23 02:35:28,FALSE,NA,"701958522385334272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","quominus",1,FALSE,FALSE,NA,NA
"Analyzing cricket’s batting legends – Through the mirage with R https://t.co/OPipovADrU #cricket #rstats",FALSE,0,NA,2016-02-23 02:22:41,FALSE,NA,"701955307333939200",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Linkis.com</a>","tvganesh_85",0,FALSE,FALSE,NA,NA
"RT @DrDanHolmes: Stephen @srmaster lecturing @MSACL about Breaking up with Excel using #Rstats. Podium label is prophetic! https://t.co/BX3…",FALSE,0,NA,2016-02-23 02:20:38,FALSE,NA,"701954791841267712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SHaymondSays",2,TRUE,FALSE,NA,NA
"RT @DrDanHolmes: Student in our #rstats class also my FB friend writes awesome Haiku. @gracieinthecity @srmaster @LauraParnas @MSACL https:…",FALSE,0,NA,2016-02-23 02:20:30,FALSE,NA,"701954757842247680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SHaymondSays",1,TRUE,FALSE,NA,NA
"Good guide #rstats #dataexploration from the prolific #practical @AnalyticsVidhya 
 https://t.co/YJf2RNF5PV",FALSE,0,NA,2016-02-23 02:04:04,FALSE,NA,"701950623839813632",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","adamson",0,FALSE,FALSE,NA,NA
"https://t.co/VszNN5UU9U Mapped and wrote about @MiamiDadeCounty traffic fatalities...used #rstats and #opendata",FALSE,2,NA,2016-02-23 01:48:03,FALSE,NA,"701946592950165506",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ArieSpirgel",0,FALSE,FALSE,NA,NA
"So, normally when I update to the latest #rstats version, I need to install ALL my r-pkgs again. Looks like @rstudio has fixed that! Praise!",FALSE,0,NA,2016-02-23 01:46:04,FALSE,NA,"701946090677907456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TierneyNicholas",0,FALSE,FALSE,NA,NA
"This nifty quick Markdown site is great https://t.co/2UI2yozZgC for anyone wanting to get into rmarkdown / knitr, even for #Rstats workshops",FALSE,0,NA,2016-02-23 01:40:54,FALSE,NA,"701944791316082688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tomkXY",0,FALSE,FALSE,NA,NA
"RT @grssnbchr: 6 reasons why data journalists should finally start using R in 2016 https://t.co/IXLTtwCakM #ddj #rstats #rddj https://t.co/…",FALSE,0,NA,2016-02-23 01:33:28,FALSE,NA,"701942921344458753",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","journocode",78,TRUE,FALSE,NA,NA
"This afternoon MIk and @theboocock bring reproducible research to our new students: knitr, rmarkdown, etc... #Rstats #datacarpentry #resbaz",FALSE,0,NA,2016-02-23 01:32:37,FALSE,NA,"701942708412092416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tomkXY",0,FALSE,FALSE,NA,NA
"RT @NumFOCUS: Join NumFOCUS and show your support for #opensource #datascience! https://t.co/y8ZQiOSaTp #julialang #rstats #matlab #python …",FALSE,0,NA,2016-02-23 01:23:36,FALSE,NA,"701940436626092032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kingwulf",8,TRUE,FALSE,NA,NA
"Teaching data skills: if not now, then when? #DataScience #rstats @ThisisStats @tpsemath  https://t.co/1m38kw3JHT",FALSE,3,NA,2016-02-23 01:17:00,FALSE,NA,"701938775035813888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","askdrstats",1,FALSE,FALSE,NA,NA
"Bind exercises https://t.co/OSgMkfjS3P #rstats",FALSE,0,NA,2016-02-23 01:08:08,FALSE,NA,"701936546232946688",NA,"<a href=""http://www.exegetic.biz"" rel=""nofollow"">RSS/Atom Feed Tweeter</a>","DataWookie",0,FALSE,FALSE,NA,NA
"RT @NumFOCUS: Join NumFOCUS and show your support for #opensource #datascience! https://t.co/y8ZQiOSaTp #julialang #rstats #matlab #python …",FALSE,0,NA,2016-02-23 01:04:09,FALSE,NA,"701935542364086272",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","JuliaLanguage",8,TRUE,FALSE,NA,NA
"RT @NumFOCUS: Join NumFOCUS and show your support for #opensource #datascience! https://t.co/y8ZQiOSaTp #julialang #rstats #matlab #python …",FALSE,0,NA,2016-02-23 01:04:09,FALSE,NA,"701935542330523649",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","JuliaLangsEs",8,TRUE,FALSE,NA,NA
"RT @NumFOCUS: Join NumFOCUS and show your support for #opensource #datascience! https://t.co/y8ZQiOSaTp #julialang #rstats #matlab #python …",FALSE,0,NA,2016-02-23 01:04:09,FALSE,NA,"701935542301134848",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ismael_vc",8,TRUE,FALSE,NA,NA
"RT @pssGuy: #rstats @plotlygraphs shiny interactive #OECD map app
https://t.co/zkT2k6ZIWJ
@cpsievert @JennyBryan https://t.co/hmvy4aapCy",FALSE,0,NA,2016-02-23 01:00:57,FALSE,NA,"701934737036746753",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kyle_e_walker",9,TRUE,FALSE,NA,NA
"RT @drob: When you start writing a loop then turn it into dplyr

#rstats https://t.co/M0gXUXuYCP",FALSE,0,NA,2016-02-23 01:00:36,FALSE,NA,"701934650462248964",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mariacdangelo",41,TRUE,FALSE,NA,NA
